Labels,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23
"A
OD",0.023733333333333332,,0.0128,,1.3459333333333332,,1.7953666666666666,,0.0007666666666666667,,0.0018000000000000002,,0.0019333333333333331,,0.0022666666666666664,,0.0030666666666666668,,0.0003333333333333333,,0.0052,,0.0
,,,,,,,,,,,,,,,,,,,,,,,
B,0.0174,,0.0131,,2.309,,0.0081,,0.0,,0.0,,0.0001,,0.0,,0.0,,0.0,,0.0,,0.0
C,0.019,,0.0104,,2.3589,,0.0057,,0.0,,0.0,,0.0,,0.0001,,0.0,,0.0,,0.0,,0.0
D,2.3154,,0.0148,,2.5671,,0.0062,,0.0001,,0.0003,,0.0001,,0.0002,,0.0002,,0.0002,,0.0002,,0.0002
E,2.3809,,0.0134,,2.5335,,0.0096,,0.0002,,0.0002,,0.0001,,0.0002,,0.0002,,0.0001,,0.0001,,0.0003
F,0.0091,,0.0194,,2.2282,,0.004,,0.0004,,0.0006,,0.0005,,0.0004,,0.0002,,0.0003,,0.0007,,0.0004
G,0.0103,,0.0123,,1.3895,,0.008,,0.0001,,0.0001,,0.0001,,0.0,,0.0001,,0.0002,,0.0001,,0.0001
H,0.027399999999999997,,1.8856,,2.3172,,0.0052,,0.0001,,0.0002,,0.0002,,0.0001,,0.0001,,0.0003,,0.0001,,0.0002
